RefID, ClusterID
A735485, A735485, CHRISTOPHER ABBOTT LEE 137 COLUMBINE DR 502 WINSTON SALEM NC 27106 173 61 6732
A739417, A739417, EYVETTE ABBOTT LACHELLE 5462 NORTHRIDGE DR WINSTON SALEM NC 27105 470 88 5725
A750205, A750205, BRIAN ABADIR FAROUK 3555 SYCAMORE TRAIL LN 302 WINSTON SALEM NC 27103 123 31 5321
A750209, A750209, EMON ABBOTT KINARD 3805 VELINDA DR WINSTON SALEM NC 27106 539207159
A750529, A750529, ELIZABETH ABBOTT GRACIE 922 CAROLINA AVE WINSTON SALEM NC 27101 939518499
A755471, A755471, MYRA AARGAARD ESPERSEN 1224 MAGNOLIA ST WINSTON SALEM NC 27103 117 15 8521
A756280, A756280, DOUGLAS ABBOTT JOHN 13 KENWOOD CV GREENBRIER AR 72058 394806349
A757911, A757911, COURTNEY ABBOTT ANN 200 BOGART CIR WINSTON SALEM NC 27104 800 94 9155
A762973, A762973, EYVETTE ABBOTT LACHELLE 16524 DESERT LILY ST VICTORVILLE CA 92394 470 88 5725
A767115, A767115, CHARLES ABBOTT DAVIDSON 4010 HAVENWOOD DR WINSTON SALEM NC 27106 735 33 3763
A767794, A767794, TIFFANY AARON 5122 BURROAK CT WINSTON SALEM NC 27106 937 30 2822
A769690, A769690, ALPHONSO ABBOTT CARL 4494 TISE AVE WINSTON SALEM NC 27105 451 10 2015
A770538, A770538, DONALD AARON DWIGHT 6965 WEST RD WALNUT COVE NC 27052 131532482
A776838, A776838, DAVIS AARON SCOTT 3211 KINNAMON RD WINSTON SALEM NC 27104 834 59 6144
A780444, A780444, EYVETTE ABBOTT L 5462 NORTHRIDGE DR WINSTON SALEM NC 27105
A780828, A780828, LORI AARON FRANKLIN 5010 TUTELO TRL WINSTON SALEM NC 27127 214 83 9125
A782781, A782781, CHRISTOPHER ABBOTT SR 2300 MCKINNON CT G CLEMMONS NC 27012 184 85 8365
A784620, A784620, JOESEPH ABBITT DEJUAN 803 BARNEY AVE WINSTON SALEM NC 27107 882588725
A789792, A789792, CHARLIE ABBOTT LINWOOD 4912 FALLFIELD DR KERNERSVILLE NC 27284 228959981
A793513, A793513, TERESA ABARCA SPAINHOUR 2609 W MOUNTAIN ST KERNERSVILLE NC 27284 917 10 2100
A793975, A793975, IRENE ABBOTT 4701 PINE HALL RD B WALKERTOWN NC 27051 788 37 4866
A794694, A794694, CHELSEA ABBOTT COVINIA 2524 MACHINE ST WINSTON SALEM NC 27105 982 35 2252
A799281, A799281, PHYLLIS AARON CAROL 2558 TANTELON PL WINSTON SALEM NC 27127 925 88 7481
A800412, A757911, COURTNEY ABBOTT A 200 BOGART CIR WINSTON SALEM NC 27104 800 94 9155
A802653, A802653, DOUGLAS ABBOTT JOHN 482 HERITAGE DR LEWISVILLE NC 27023 394 80 6349
A804337, A769690, ALPHONSO ABBOTT CARL 4494 TISE AVE WINSTON SALEM NC 27105 451 10 2015
A808643, A794694, CHELSEA ABBOTT C 2524 MACHINE ST WINSTON SALEM NC 27105 982 35 2252
A811272, A811272, ABBOTT WILSON 3725 WATKINS ST WALKERTOWN NC 27051 320 91 3860
A812219, A812219, CELIA AARON 1106 LASSEN DR HANFORD CA 93230 344 37 4232
A813025, A813025, ALLEN AARON IKAIKA 3830 COUNTRY CLUB RD J WINSTON SALEM NC 27104
A814320, A814320, NENA ABAI IKWECHEGH 4477 LOCHURST DR PFAFFTOWN NC 27040 780 11 8579
A816319, A770538, AARON DONALD AARON DWIGHT 6965 WEST RD WALNUT COVE NC 27052 131 53 2482
A819955, A819955, JEREMY AARON TYLER 3211 KINNAMON RD WINSTON SALEM NC 27104 363197202
