Name,Address,phone_number,ssn,gender,age,date_of_birth,city,state,country,occupation,education,income,marital_status,children
John Doe,123 Main St,555-1234,123-45-6789,Male,35,1988-05-10,New York,NY,USA,Engineer,Bachelor's Degree,80000,Married,2
Jane Smith,456 Elm St,555-5678,987-65-4321,Female,42,1981-09-20,San Francisco,CA,USA,Doctorate,Doctorate Degree,120000,Single,0
Michael Johnson,789 Oak Ave,555-9876,543-21-9876,Male,28,1995-12-15,Chicago,IL,USA,Teacher,Master's Degree,60000,Single,1
Emily Davis,321 Pine Rd,555-4321,876-54-3210,Female,31,1990-07-03,Boston,MA,USA,Engineer,Bachelor's Degree,90000,Married,3
William Brown,654 Cedar Dr,555-8765,234-56-7890,Male,45,1978-03-25,Miami,FL,USA,Manager,Bachelor's Degree,110000,Married,2
Olivia Wilson,987 Walnut Ln,555-3456,678-90-1234,Female,39,1984-11-08,Los Angeles,CA,USA,Doctor,Doctorate Degree,150000,Single,0
James Johnson,741 Maple Ave,555-6543,876-54-3210,Male,33,1988-09-12,Chicago,IL,USA,Engineer,Master's Degree,95000,Married,1
Emma Anderson,852 Oak St,555-2109,234-56-7890,Female,27,1996-06-18,New York,NY,USA,Teacher,Bachelor's Degree,65000,Single,0
Alexander Garcia,963 Pine Rd,555-9012,987-65-4321,Male,38,1985-02-27,Boston,MA,USA,Doctor,Doctorate Degree,140000,Married,2
Sophia Rodriguez,369 Cedar Dr,555-1098,123-45-6789,Female,29,1992-10-05,Miami,FL,USA,Manager,Master's Degree,120000,Single,1
