suffixTitle,generationalSuffix,prefix,customer_ID,first_name,last_name,CompleteName,gender,email,Address1,Address2,city,state,zipcode,country,Race,Birth_Date,Marrital_Status,Number_of_Children,Store_Membership_Card,Occupation,Annual_Income,Largest_Bill_Amount,customer_Since,SSN,Last_Transaction,IntBankAccNo,CreditcardNo,CreditCard_type,password,mean_Transaction_Amount
MPHIL,,Mr.,01GY0YYXCXQT03DFJWBP4R43CB,Melicent,Rentoll,"Mr. Melicent Rentoll ,MPHIL",MTF,Melicent.Rentoll@pilog.com,19th Floor,63941 New Castle Drive,Boulder,Colorado,80328,United States,Osage,8/18/50,Unknown,10,o2MOk7rk,Assistant Manager,50815,,2/13/01,669-06-8303,11/25/09,AD36 2131 3643 JEKH LYCQ LFQM,3.59E+15,jcb,Og9kVOHMD,
MSW,,Dr.,01GY0YYXDE2H28GB8JKRW17F28,Stephanie,Synnott,"Dr. Stephanie Synnott ,MSW",Transgender Male,Stephanie.Synnott@pilog.com,Room 1316,13 Oxford Center,Mobile,Alabama,36605,United States,Samoan,4/26/16,Engaged,4,6TqlADf,Legal Assistant,31270,,10/9/06,110-66-2487,2/11/07,PL02 4409 8523 4732 6905 7761 6040,5.61E+15,bankcard,ToRlgWZV,
MSW,,Prof.,01GY0YYXDMVNXH2QT7HHR4ATD4,Gerti,Wogden,"Prof. Gerti Wogden ,MSW",Transsexual Person,Gerti.Wogden@pilog.com,Suite 82,710 Saint Paul Lane,,,45228,United States,Osage,12/5/71,Divorced,6,YjqnZmc0oZ,Clinical Specialist,35523,,11/24/20,322-04-5570,10/16/16,FR97 5465 7599 42WI HSXT PQPL M94,3.56E+15,jcb,b1H7ff9Ds6Vu,
PsyD,,Prof.,01GY0YYXDSM08225R9H64TRP9T,Tova,Treacher,"Prof. Tova Treacher ,PsyD",Transmasculine,Tova.Treacher@pilog.com,1st Floor,711 Parkside Road,New York City,New York,10060,United States,Pima,5/17/11,Divorced,7,yb0JEcSSZRx,Information Systems Manager,64844,,2/7/17,391-80-8867,9/24/09,AD48 6904 9069 2MWA GXVX SJQE,3.59E+15,jcb,ZE8ztckxlBW,
IQCP,,Ms,01GY0YYXDZQM64ANY2T5N652R7,Yancey,Stephen,"Ms Yancey Stephen ,IQCP",Male to Female,Yancey.Stephen@pilog.com,Suite 51,35 Johnson Park,,,60193,United States,Chilean,1/7/93,Engaged,9,o3Bo465,VP Accounting,24679,,10/1/05,294-84-6305,4/19/22,GR21 5519 504R BVJW SQTQ IWQI XWU,5.60E+15,bankcard,XHIoEVBAaKB,
EdD,,Prof.,01GY0YYXE37WXYP20T328BAQ9G,Padgett,Struss,"Prof. Padgett Struss ,EdD",Transgender Person,Padgett.Struss@pilog.com,Apt 134,19482 Loeprich Place,Alexandria,Virginia,22309,United States,Puget Sound Salish,4/10/01,Divorced,7,KtjzcWxAhxd,Cost Accountant,13328,,8/26/04,428-61-6856,5/3/12,GL86 8075 4251 8256 08,4.04E+12,visa,HU6u6AKw,
PharmD,IV,Dr.,01GY0YYXE7HCAN29YSQK6Y5ZDD,Cecil,Slucock,"Dr. Cecil Slucock IV,PharmD",Transfeminine,Cecil.Slucock@pilog.com,12th Floor,3 Crowley Avenue,Gainesville,Florida,32627,United States,Puget Sound Salish,5/12/71,Engaged,8,lFPrqgF,VP Marketing,41818,,12/20/07,888-08-0113,2/21/12,AD69 4351 9040 4I75 JVX8 UQKP,3.44E+14,americanexpress,2lBW8stnqqRI,
IQCP,,Dr.,01GY0YYXEAVYT0DJB27DPZ4JZY,Delcine,Marchent,"Dr. Delcine Marchent ,IQCP",Transsexual Female,Delcine.Marchent@pilog.com,Suite 30,573 Ruskin Point,Tampa,Florida,33661,United States,Kiowa,7/11/75,Separated,6,O0ZjYF0,Programmer IV,27850,,5/3/10,572-67-1375,11/8/21,KZ84 434D DSIP IU8K OIX1,3.49E+14,americanexpress,yIXTaOuRogPL,
IQCP,,Ms,01GY0YYXEDW826EH7QRVRSTFGT,Waldo,Pedroni,"Ms Waldo Pedroni ,IQCP",Female to Male,Waldo.Pedroni@pilog.com,Apt 1678,52499 Monument Crossing,Washington,District of Columbia,20414,United States,Yuman,12/6/02,Engaged,6,sOhhNc,Automation Specialist IV,54858,,7/11/05,786-80-4708,10/5/18,AZ97 KSYL QTVL L0DA TXFY CJCT I4TQ,5.44E+15,diners-club-us-ca,ezbu4dJ8w,
MPHIL,,Dr.,01GY0YYXEGM8NGZSJC1PX28A0E,Reggis,Kingsworth,"Dr. Reggis Kingsworth ,MPHIL",Gender Questioning,Reggis.Kingsworth@pilog.com,PO Box 1355,01686 Elgar Court,,,87115,United States,Puerto Rican,2/5/51,Unknown,2,nH0ELB3Q8UHE,Human Resources Assistant I,16687,,4/11/05,675-01-1373,7/23/18,LB85 8526 DVIV GZWV 2GRU LOOF QHXR,3.03E+13,diners-club-carte-blanche,ZKuTk9L,
PharmD,,Dr.,01GY0YYXEMY3XQAT1EYS4HC510,Adolph,Gooke,"Dr. Adolph Gooke ,PharmD",Agender,Adolph.Gooke@pilog.com,PO Box 4931,455 Sugar Street,,,18514,United States,Native Hawaiian,12/10/12,Single,9,DVoTXT9,Director of Sales,51621,,5/4/16,386-78-1796,4/15/12,RO15 UUUX V6AD FTZY 0BJW QIGK,5.05E+15,mastercard,06DO7rSjVugG,
IQCP,,Dr.,01GY0YYXESCQ0GZ6QJASVC2PT0,Findley,Stuchberry,"Dr. Findley Stuchberry ,IQCP",Neither,Findley.Stuchberry@pilog.com,Apt 864,8365 Comanche Place,Denver,Colorado,80209,United States,Alaska Native,9/1/86,Divorced,3,JjzeSERP,Account Representative III,47187,,8/18/17,613-80-4581,7/30/05,HU78 3973 3676 1891 1952 5505 5576,3.53E+15,jcb,0PbEKslR7QHr,
PHD,,Dr.,01GY0YYXEYNXMCWYDCD8FCTZT6,Gaelan,Fannin,"Dr. Gaelan Fannin ,PHD",Pangender,Gaelan.Fannin@pilog.com,PO Box 56885,96091 Eggendart Street,,,27116,United States,Pueblo,10/12/01,Single,5,XEisRWbU,Analyst Programmer,93191,,6/23/03,824-88-5216,2/23/05,VG79 QEOS 6265 5463 6052 7459,5.10E+15,mastercard,wr5gkI,
MSW,,Mr.,01GY0YYXF2Z7VY5V2KQWHPVS1P,Celesta,Tillyer,"Mr. Celesta Tillyer ,MSW",Transgender,Celesta.Tillyer@pilog.com,7th Floor,9369 Sage Terrace,Everett,Washington,98206,United States,Navajo,7/23/98,Separated,7,46J73E,Analyst Programmer,26156,,1/2/04,415-88-1838,10/29/21,FR74 9150 7142 92M5 44B0 RKJ7 Y74,3.53E+15,jcb,ABCfLiQnD9LD,
PHD,,Mr.,01GY0YYXF83S8XVNS13099Q3DS,Frank,Deplacido,"Mr. Frank Deplacido ,PHD",Gender Nonconforming,Frank.Deplacido@pilog.com,PO Box 83244,8377 Carioca Terrace,Saint Paul,Minnesota,55188,United States,Yaqui,12/8/54,Engaged,6,gU2MOv,Nuclear Power Engineer,23187,,6/24/04,849-83-8646,3/20/16,DK89 8883 3537 1660 65,3.53E+15,jcb,jekgpgPAlEey,
